Jessie Bates,LTC (20-22),A Flawed Matrix,10
Justin Simmons,LTC (20-22),A Flawed Matrix,8
Akiem Hicks,LTC (20-22),A Flawed Matrix,5
Matthew Ioannidis,LTC (20-22),A Flawed Matrix,5
Sam Hubbard,LTC (20-22),A Flawed Matrix,6
Bradley Chubb,LTC (20-22),A Flawed Matrix,25
Preston Smith,LTC (20-22),A Flawed Matrix,8
Ian Thomas,LTC (20-22),A Flawed Matrix,7
Jace Sternberger,LTC (20-22),A Flawed Matrix,6
Marquez Valdes-Scantling,LTC (20-22),A Flawed Matrix,12
Russell Gage,LTC (20-22),A Flawed Matrix,10
Tyrann Mathieu,LTC (20-22),Abdullah Oblongata,8
Von Miller,LTC (20-22),Abdullah Oblongata,8
Daniel Jones,LTC (20-22),Abdullah Oblongata,47
Dak Prescott,LTC (19-21),Aconcagua,23
James Conner,LTC (19-21),Aconcagua,11
Le'Veon Bell,LTC (19-21),Aconcagua,28
Mike Evans,LTC (19-21),Aconcagua,30
Adam Thielen,LTC (18-20),Aconcagua,14
Lamar Jackson,LTC (20-22),Arg Thunder,18
Derrick Henry,LTC (20-22),Arg Thunder,82
Jabrill Peppers,LTC (19-21),Boom or Bust,8
Minkah Fitzpatrick,LTC (20-22),Boom or Bust,8
Devin Bush,LTC (20-22),Boom or Bust,22
Devin White,LTC (20-22),Boom or Bust,20
Roquan Smith,LTC (19-21),Boom or Bust,15
Dalvin Cook,LTC (19-21),Boom or Bust,45
Davante Adams,LTC (20-22),Boom or Bust,12
DeAndre Hopkins,LTC (20-22),Boom or Bust,15
Danielle Hunter,LTC (20-22),Brighton B52s,10
Deion Jones,LTC (20-22),Brighton B52s,16
Dre Greenlaw,LTC (20-22),Brighton B52s,8
Raheem Mostert,LTC (20-22),Brighton B52s,10
Allen Robinson,LTC (20-22),Brighton B52s,62
D.J. Moore,LTC (20-22),Brighton B52s,76
Kevin Byard,LTC (18-20),Brighton B52s,9
Dallas Goedert,LTC (19-21),Can Ya Digg It,13
Eric Kendricks,LTC (18-20),Can Ya Digg It,9
George Kittle,LTC (18-20),Can Ya Digg It,7
Marvin Jones,LTC (18-20),Can Ya Digg It,51
Jamal Adams,LTC (19-21),Cereal Killers,8
Baker Mayfield,LTC (19-21),Cereal Killers,54
Nick Chubb,LTC (19-21),Cereal Killers,35
Calvin Ridley,LTC (19-21),Cereal Killers,61
Myles Garrett,LTC (18-20),Cereal Killers,49
Joe Schobert,LTC (18-20),Cereal Killers,9
T.J. Watt,LTC (18-20),Cereal Killers,9
Ben Roethlisberger,LTC (20-22),Fitz got Hops,38
Carson Wentz,LTC (20-22),Fitz got Hops,59
Noah Fant,LTC (20-22),Fitz got Hops,13
Joey Bosa,LTC (20-22),Fredericksburg Flames,49
Jared Goff,LTC (20-22),Fredericksburg Flames,18
Joe Mixon,LTC (19-21),Fredericksburg Flames,54
Miles Sanders,LTC (20-22),Fredericksburg Flames,51
Austin Hooper,LTC (20-22),Fredericksburg Flames,8
Hunter Henry,LTC (20-22),Fredericksburg Flames,7
DeVante Parker,LTC (20-22),Fredericksburg Flames,22
DK Metcalf,LTC (20-22),Fredericksburg Flames,30
Chris Godwin,LTC (18-20),Fredericksburg Flames,12
Cam Newton,LTC (20-22),Game of Jones,15
David Johnson,LTC (19-21),Game of Jones,28
Kareem Hunt,LTC (19-21),Game of Jones,61
Jonnu Smith,LTC (20-22),Game of Jones,6
Julio Jones,LTC (20-22),Game of Jones,118
Jerome Baker,LTC (20-22),Landry Parker and Associates,8
Mike Gesicki,LTC (20-22),Landry Parker and Associates,24
Deshaun Watson,LTC (18-20),Landry Parker and Associates,63
Jimmy Garoppolo,LTC (18-20),Mad Cats,33
Tremaine Edmunds,LTC (20-22),PlayBills,38
Alvin Kamara,LTC (20-22),PlayBills,72
Cooper Kupp,LTC (20-22),PlayBills,72
Drew Lock,LTC (20-22),The Bills,15
Teddy Bridgewater,LTC (20-22),The Bills,15
Marquise Brown,LTC (20-22),The Bills,10
Terry McLaurin,LTC (20-22),The Bills,10
Darius Leonard,LTC (19-21),The Dudes,8
Philip Rivers,LTC (19-21),The Dudes,41
Mike Williams,LTC (19-21),The Dudes,17
Tyler Boyd,LTC (19-21),The Dudes,10
Patrick Mahomes,LTC (18-20),The Dudes,93
Travis Kelce,LTC (18-20),The Dudes,70
Courtland Sutton,LTC (19-21),The Tannehillbillies,10
Adam Humphries,LTC (20-22),A Flawed Matrix,20
Alex Erickson,LTC (20-22),A Flawed Matrix,10
Xavien Howard,LTC (19-21),Aconcagua,8
Christian McCaffrey,LTC (19-21),The Tannehillbillies,91
Duke Johnson,LTC (18-20),The Bills,29
A.J. Brown,LTC (20-22),The Bills,10
Jordan Howard,LTC (18-20),Fredericksburg Flames,12
Nick Foles,LTC (19-21),Fredericksburg Flames,15
Tevin Coleman,LTC (19-21),Fredericksburg Flames,23
Marshon Lattimore,LTC (18-20),Cereal Killers,8
Greg Zuerlein,LTC (18-20),Can Ya Digg It,2
Jack Doyle,LTC (18-20),Brighton B52s,12
Mitchell Trubisky,LTC (19-21),Brighton B52s,40
Jordan Thomas,LTC (19-21),Brighton B52s,24
Josh Allen,LTC (20-22),Boom or Bust,8
